"effect","group","term","estimate","std.error","statistic","p.value"
"fixed",NA,"(Intercept)",4.96,0.35,14.39,0
"fixed",NA,"TypeTwoSentences",-1.18,0.31,-3.87,0
"fixed",NA,"TaskMemoryAll",-3.89,0.34,-11.53,0
"fixed",NA,"TaskMemoryLast",-0.92,0.45,-2.04,0.041
"fixed",NA,"TaskSentiment",-2.46,0.57,-4.33,0
"fixed",NA,"TaskComprehensionQ",-2.6,0.42,-6.13,0
"fixed",NA,"ConditionS",0.67,0.27,2.51,0.012
"fixed",NA,"TaskMemoryAll:ConditionS",0.74,0.26,2.81,0.005
"fixed",NA,"TaskMemoryLast:ConditionS",0.2,0.37,0.56,0.578
"ran_pars","Subject","sd__(Intercept)",1.7,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).ConditionS",0.44,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskMemoryAll",-0.98,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskMemoryLast",-0.74,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskSentiment",-0.77,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskComprehensionQ",-0.93,NA,NA,NA
"ran_pars","Subject","sd__ConditionS",0.68,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskMemoryAll",-0.36,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskMemoryLast",-0.36,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskSentiment",-0.81,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskComprehensionQ",-0.58,NA,NA,NA
"ran_pars","Subject","sd__TaskMemoryAll",1.6,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskMemoryLast",0.81,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskSentiment",0.77,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskComprehensionQ",0.94,NA,NA,NA
"ran_pars","Subject","sd__TaskMemoryLast",2.11,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryLast.TaskSentiment",0.82,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryLast.TaskComprehensionQ",0.86,NA,NA,NA
"ran_pars","Subject","sd__TaskSentiment",2.69,NA,NA,NA
"ran_pars","Subject","cor__TaskSentiment.TaskComprehensionQ",0.93,NA,NA,NA
"ran_pars","Subject","sd__TaskComprehensionQ",2.02,NA,NA,NA
