ROI,Subject,Effect, LocalizerSize,EffectSize,System,Localizer,Task,Hemisphere,Type,SentType,Version,SentTask
LH_postParietal,212,S,395,0.622334,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,212,N,395,1.116064,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,249,S,395,1.466374,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,249,N,395,0.601396,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,338,S,395,0.068238,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,338,N,395,0.238812,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,365,S,395,-0.671055,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,365,N,395,0.447962,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,382,S,395,0.285697,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,382,N,395,0.707997,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,426,S,395,0.323736,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,426,N,395,0.58713,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,553,S,395,0.295219,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,553,N,395,0.522196,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,584,S,395,0.625154,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,584,N,395,0.633719,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,602,S,395,-0.110101,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,602,N,395,0.033483,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,604,S,395,0.242578,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,604,N,395,0.594346,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,605,S,395,0.339759,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,605,N,395,0.793955,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,606,S,395,-0.30963,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,606,N,395,-0.400805,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,673,S,395,0.011883,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,673,N,395,0.261829,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,674,S,395,-1.755888,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,674,N,395,-0.939269,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,680,S,395,0.622866,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,680,N,395,0.850779,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,705,S,395,-0.401123,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,705,N,395,0.000359,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,707,S,395,0.015092,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,707,N,395,0.561181,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,712,S,395,-0.645694,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,712,N,395,-0.18634,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,714,S,395,0.713963,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,714,N,395,0.658623,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,716,S,395,1.39438,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,716,N,395,0.53908,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,717,S,395,0.473264,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,717,N,395,0.536845,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,718,S,395,0.327079,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,718,N,395,0.113868,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,720,S,395,0.594024,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,720,N,395,0.580047,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,724,S,395,-0.105252,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,724,N,395,0.011846,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,820,S,395,0.24496,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,820,N,395,0.190151,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,837,S,395,-0.346444,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,837,N,395,0.108519,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,838,S,395,1.009556,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,838,N,395,1.356907,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,839,S,395,0.077592,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,839,N,395,0.373741,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,840,S,395,0.65273,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,840,N,395,0.537484,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,841,S,395,0.22098,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,841,N,395,0.568617,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,842,S,395,-0.493482,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,842,N,395,-0.344726,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,843,S,395,0.194538,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,843,N,395,0.045141,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,844,S,395,-0.256074,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,844,N,395,-0.244439,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,845,S,395,-1.027205,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,845,N,395,-1.202019,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,846,S,395,0.116797,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,846,N,395,0.291405,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,847,S,395,0.109311,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,847,N,395,0.742497,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,848,S,395,0.333371,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,848,N,395,0.379782,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,849,S,395,0.017042,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,849,N,395,0.191914,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,850,S,395,0.798189,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,850,N,395,1.113626,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,851,S,395,0.087885,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,851,N,395,0.304528,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,856,S,395,0.006033,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,856,N,395,0.281833,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,864,S,395,0.853973,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,864,N,395,0.434425,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,865,S,395,-0.049122,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,865,N,395,0.35829,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,866,S,395,-0.317568,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_postParietal,866,N,395,-0.376769,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,212,S,86,0.517379,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,212,N,86,1.045128,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,249,S,86,2.310255,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,249,N,86,1.081961,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,338,S,86,-0.332911,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,338,N,86,0.260687,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,365,S,86,0.100998,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,365,N,86,1.216735,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,382,S,86,0.155007,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,382,N,86,0.751251,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,426,S,86,-1.045251,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,426,N,86,1.704839,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,553,S,86,0.076825,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,553,N,86,0.860771,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,584,S,86,0.182821,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,584,N,86,0.250758,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,602,S,86,0.722447,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,602,N,86,0.649655,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,604,S,86,0.663201,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,604,N,86,1.494562,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,605,S,86,-0.50085,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,605,N,86,0.29958,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,606,S,86,0.410447,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,606,N,86,0.369965,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,673,S,86,-0.068533,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,673,N,86,0.437399,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,674,S,86,-0.016007,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,674,N,86,0.099332,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,680,S,86,0.50814,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,680,N,86,0.964021,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,705,S,86,0.01355,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,705,N,86,0.314105,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,707,S,86,1.00541,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,707,N,86,1.316762,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,712,S,86,-0.836083,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,712,N,86,-0.154936,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,714,S,86,1.285015,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,714,N,86,1.249734,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,716,S,86,2.504949,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,716,N,86,1.67127,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,717,S,86,0.955064,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,717,N,86,1.412786,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,718,S,86,2.067498,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,718,N,86,1.754417,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,720,S,86,1.385189,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,720,N,86,1.504808,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,724,S,86,-0.174905,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,724,N,86,0.008923,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,820,S,86,0.119523,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,820,N,86,-0.044128,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,837,S,86,0.314955,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,837,N,86,0.480453,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,838,S,86,0.676914,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,838,N,86,1.135942,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,839,S,86,0.177385,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,839,N,86,0.885272,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,840,S,86,0.871414,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,840,N,86,1.068244,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,841,S,86,0.043469,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,841,N,86,0.425297,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,842,S,86,0.01844,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,842,N,86,0.31191,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,843,S,86,0.44178,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,843,N,86,0.431659,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,844,S,86,-0.116206,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,844,N,86,0.048033,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,845,S,86,-0.419315,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,845,N,86,0.085895,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,846,S,86,0.372912,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,846,N,86,0.581582,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,847,S,86,0.548235,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
