Regression Term,Beta,SE,p.value,pLabel
(Intercept),0.08,0.13,0.53,
SentTypeTwoSentences,-0.01,0.08,0.852,
SentTypeTwoSentences:SentTaskComprehensionQ,-0.3,0.1,0.003,**
SentTypeOneSentence:SentTaskMemoryAll,-0.33,0.08,0.000147,***
SentTypeOneSentence:SentTaskMemoryLast,-0.07,0.09,0.419,
SentTypeTwoSentences:SentTaskSentiment,-0.25,0.14,0.076,
SentTypeOneSentence:SentTaskButtonPress:EffectRef,0.05,0.07,0.466,
SentTypeTwoSentences:SentTaskButtonPress:EffectRef,-0.51,0.13,9.82e-05,***
SentTypeTwoSentences:SentTaskComprehensionQ:EffectRef,-0.09,0.08,0.28,
SentTypeOneSentence:SentTaskMemoryAll:EffectRef,-0.02,0.08,0.802,
SentTypeOneSentence:SentTaskMemoryLast:EffectRef,-0.06,0.08,0.436,
SentTypeTwoSentences:SentTaskSentiment:EffectRef,-0.11,0.11,0.306,
