Regression Term,Beta,SE,p.value,pLabel
(Intercept),-0.13,0.09,0.175,
SentTypeTwoSentences,-0.01,0.07,0.906,
SentTypeTwoSentences:SentTaskComprehensionQ,-0.39,0.09,9.53e-05,***
SentTypeOneSentence:SentTaskMemoryAll,-0.36,0.08,2.31e-05,***
SentTypeOneSentence:SentTaskMemoryLast,0.02,0.08,0.845,
SentTypeTwoSentences:SentTaskSentiment,-0.35,0.13,0.008,**
SentTypeOneSentence:SentTaskButtonPress:EffectRef,0.15,0.06,0.017,*
SentTypeTwoSentences:SentTaskButtonPress:EffectRef,-0.32,0.12,0.006,**
SentTypeTwoSentences:SentTaskComprehensionQ:EffectRef,0.13,0.07,0.057,
SentTypeOneSentence:SentTaskMemoryAll:EffectRef,0.13,0.07,0.072,
SentTypeOneSentence:SentTaskMemoryLast:EffectRef,0.01,0.07,0.859,
SentTypeTwoSentences:SentTaskSentiment:EffectRef,0.15,0.08,0.08,
