Regression Term,Beta_V1,SE_V1,p.value.FDR_V1,pLabel_V1,Beta_V2,SE_V2,p.value.FDR_V2,pLabel_V2,Beta_V3,SE_V3,p.value.FDR_V3,pLabel_V3,Beta_V4,SE_V4,p.value.FDR_V4,pLabel_V4,Beta_V5,SE_V5,p.value.FDR_V5,pLabel_V5,Beta_V6,SE_V6,p.value.FDR_V6,pLabel_V6
(Intercept),1.85,0.29,<.001,***,1.84,0.29,<.001,***,1.68,0.28,<.001,***,1.73,0.28,<.001,***,1.79,0.29,<.001,***,1.49,0.23,<.001,***
SentTypeTwoSentences,0.34,0.13,0.018,*,0.43,0.2,0.044,*,0.17,0.19,0.369,,0.43,0.13,0.006,**,0.43,0.13,0.006,**,0.23,0.11,0.046,*
SentTypeTwoSentences:SentTaskComprehensionQ,1.14,0.16,<.001,***,1.14,0.23,<.001,***,1.44,0.22,<.001,***,1.38,0.17,<.001,***,1.42,0.18,<.001,***,1.21,0.16,<.001,***
SentTypeOneSentence:SentTaskMemoryAll,0.5,0.12,<.001,***,0.41,0.12,0.001,**,0.53,0.13,<.001,***,0.57,0.13,<.001,***,0.6,0.13,<.001,***,0.6,0.18,0.001,**
SentTypeOneSentence:SentTaskMemoryLast,0.01,0.12,0.997,,0,0.15,0.997,,-0.01,0.13,0.997,,0.06,0.13,0.997,,0.03,0.17,0.997,,-0.32,0.2,0.72,
SentTypeTwoSentences:SentTaskSentiment,0.85,0.17,<.001,***,0.88,0.26,0.001,**,1,0.25,<.001,***,1.04,0.19,<.001,***,1.05,0.2,<.001,***,0.85,0.22,0.001,**
SentTypeOneSentence:SentTaskButtonPress:EffectRef,-1.34,0.11,<.001,***,-1.44,0.12,<.001,***,-1.28,0.13,<.001,***,-1.34,0.1,<.001,***,-1.28,0.11,<.001,***,-1.12,0.12,<.001,***
SentTypeTwoSentences:SentTaskButtonPress:EffectRef,-1.61,0.2,<.001,***,-1.87,0.29,<.001,***,-1.49,0.29,<.001,***,-1.7,0.2,<.001,***,-1.76,0.2,<.001,***,-1.55,0.15,<.001,***
SentTypeTwoSentences:SentTaskComprehensionQ:EffectRef,-2.79,0.14,<.001,***,-3.04,0.17,<.001,***,-2.88,0.17,<.001,***,-3.17,0.13,<.001,***,-3.22,0.17,<.001,***,-2.73,0.18,<.001,***
SentTypeOneSentence:SentTaskMemoryAll:EffectRef,-1.52,0.13,<.001,***,-1.64,0.12,<.001,***,-1.55,0.14,<.001,***,-1.64,0.12,<.001,***,-1.75,0.13,<.001,***,-1.72,0.19,<.001,***
SentTypeOneSentence:SentTaskMemoryLast:EffectRef,-1.2,0.13,<.001,***,-1.28,0.14,<.001,***,-1.16,0.13,<.001,***,-1.23,0.12,<.001,***,-1.12,0.13,<.001,***,-0.9,0.19,<.001,***
SentTypeTwoSentences:SentTaskSentiment:EffectRef,-2.52,0.17,<.001,***,-2.76,0.19,<.001,***,-2.5,0.18,<.001,***,-2.84,0.17,<.001,***,-2.89,0.19,<.001,***,-2.45,0.24,<.001,***
