Regression Term,Beta_V1,SE_V1,p.value.FDR_V1,pLabel_V1,Beta_V2,SE_V2,p.value.FDR_V2,pLabel_V2,Beta_V3,SE_V3,p.value.FDR_V3,pLabel_V3,Beta_V4,SE_V4,p.value.FDR_V4,pLabel_V4,Beta_V5,SE_V5,p.value.FDR_V5,pLabel_V5,Beta_V6,SE_V6,p.value.FDR_V6,pLabel_V6
(Intercept),0.57,0.11,<.001,***,0.63,0.12,<.001,***,0.49,0.12,<.001,***,0.61,0.13,<.001,***,0.65,0.12,<.001,***,0.48,0.1,<.001,***
SentTypeTwoSentences,0.06,0.08,0.662,,0.08,0.13,0.662,,-0.13,0.12,0.662,,0.04,0.09,0.672,,0.06,0.1,0.662,,-0.11,0.08,0.662,
SentTypeTwoSentences:SentTaskComprehensionQ,0.52,0.11,<.001,***,0.45,0.16,0.007,**,0.64,0.16,<.001,***,0.7,0.12,<.001,***,0.58,0.15,<.001,***,0.28,0.12,0.032,*
SentTypeOneSentence:SentTaskMemoryAll,0.13,0.08,0.558,,-0.03,0.09,0.797,,0.03,0.11,0.797,,0.07,0.1,0.734,,0.13,0.12,0.558,,0.16,0.13,0.558,
SentTypeOneSentence:SentTaskMemoryLast,0.2,0.11,0.342,,0.11,0.12,0.544,,0.06,0.11,0.613,,0.19,0.12,0.342,,0.11,0.14,0.552,,-0.15,0.14,0.544,
SentTypeTwoSentences:SentTaskSentiment,0.63,0.13,<.001,***,0.62,0.2,0.002,**,0.68,0.18,<.001,***,0.8,0.15,<.001,***,0.73,0.17,<.001,***,0.45,0.2,0.05,
SentTypeOneSentence:SentTaskButtonPress:EffectRef,-0.33,0.07,<.001,***,-0.44,0.09,<.001,***,-0.34,0.09,<.001,***,-0.37,0.07,<.001,***,-0.33,0.08,<.001,***,-0.3,0.1,0.004,**
SentTypeTwoSentences:SentTaskButtonPress:EffectRef,-0.48,0.13,<.001,***,-0.67,0.2,0.001,**,-0.31,0.2,0.121,,-0.49,0.14,0.001,**,-0.61,0.16,<.001,***,-0.57,0.1,<.001,***
SentTypeTwoSentences:SentTaskComprehensionQ:EffectRef,-1.03,0.1,<.001,***,-1.16,0.12,<.001,***,-1.01,0.13,<.001,***,-1.28,0.1,<.001,***,-1.23,0.12,<.001,***,-0.88,0.13,<.001,***
SentTypeOneSentence:SentTaskMemoryAll:EffectRef,-0.46,0.08,<.001,***,-0.55,0.09,<.001,***,-0.46,0.1,<.001,***,-0.45,0.08,<.001,***,-0.57,0.1,<.001,***,-0.54,0.14,<.001,***
SentTypeOneSentence:SentTaskMemoryLast:EffectRef,-0.45,0.08,<.001,***,-0.52,0.1,<.001,***,-0.39,0.09,<.001,***,-0.47,0.08,<.001,***,-0.39,0.1,<.001,***,-0.36,0.14,0.015,*
SentTypeTwoSentences:SentTaskSentiment:EffectRef,-1.07,0.13,<.001,***,-1.29,0.18,<.001,***,-0.99,0.14,<.001,***,-1.3,0.14,<.001,***,-1.33,0.16,<.001,***,-0.95,0.24,0.002,**
