Regression Term,Beta_LH_IFGorb,SE_LH_IFGorb,p.value.FDR_LH_IFGorb,pLabel_LH_IFGorb,Beta_LH_IFG,SE_LH_IFG,p.value.FDR_LH_IFG,pLabel_LH_IFG,Beta_LH_MFG,SE_LH_MFG,p.value.FDR_LH_MFG,pLabel_LH_MFG,Beta_LH_AntTemp,SE_LH_AntTemp,p.value.FDR_LH_AntTemp,pLabel_LH_AntTemp,Beta_LH_PostTemp,SE_LH_PostTemp,p.value.FDR_LH_PostTemp,pLabel_LH_PostTemp,Beta_RH_IFGorb,SE_RH_IFGorb,p.value.FDR_RH_IFGorb,pLabel_RH_IFGorb,Beta_RH_IFG,SE_RH_IFG,p.value.FDR_RH_IFG,pLabel_RH_IFG,Beta_RH_MFG,SE_RH_MFG,p.value.FDR_RH_MFG,pLabel_RH_MFG,Beta_RH_AntTemp,SE_RH_AntTemp,p.value.FDR_RH_AntTemp,pLabel_RH_AntTemp,Beta_RH_PostTemp,SE_RH_PostTemp,p.value.FDR_RH_PostTemp,pLabel_RH_PostTemp
(Intercept),1.64,0.21,<.001,***,1.87,0.19,<.001,***,2.54,0.23,<.001,***,1.17,0.1,<.001,***,1.73,0.15,<.001,***,0.45,0.1,<.001,***,0.56,0.13,<.001,***,0.62,0.14,<.001,***,0.65,0.09,<.001,***,0.58,0.09,<.001,***
SentTypeTwoSentences,0.15,0.08,0.1,,0.38,0.08,<.001,***,0.61,0.1,<.001,***,0.18,0.04,<.001,***,0.38,0.05,<.001,***,-0.11,0.06,0.11,,-0.01,0.07,0.903,,-0.09,0.08,0.281,,0.09,0.04,0.04,*,0.07,0.04,0.1,
SentTypeTwoSentences:SentTaskComprehensionQ,1.52,0.18,<.001,***,1.89,0.2,<.001,***,1.55,0.21,<.001,***,0.62,0.09,<.001,***,0.84,0.11,<.001,***,0.72,0.12,<.001,***,1.06,0.16,<.001,***,0.63,0.16,<.001,***,0.28,0.07,<.001,***,0.28,0.08,0.001,**
SentTypeOneSentence:SentTaskMemoryAll,0.35,0.13,0.016,*,0.87,0.12,<.001,***,0.81,0.15,<.001,***,0.08,0.07,0.407,,0.3,0.09,0.007,**,-0.03,0.1,0.837,,0.33,0.12,0.016,*,0.06,0.11,0.725,,-0.06,0.06,0.44,,0.01,0.06,0.837,
SentTypeOneSentence:SentTaskMemoryLast,-0.18,0.16,0.562,,0.21,0.15,0.562,,0.07,0.15,0.768,,-0.03,0.08,0.768,,-0.07,0.11,0.768,,0.05,0.13,0.768,,0.28,0.16,0.525,,0.19,0.12,0.525,,0.02,0.09,0.805,,0.09,0.08,0.562,
SentTypeTwoSentences:SentTaskSentiment,1.14,0.21,<.001,***,1.49,0.21,<.001,***,1.05,0.22,<.001,***,0.55,0.11,<.001,***,0.68,0.14,<.001,***,0.81,0.16,<.001,***,1.28,0.19,<.001,***,0.62,0.15,<.001,***,0.37,0.11,0.001,**,0.49,0.1,<.001,***
SentTypeOneSentence:SentTaskButtonPress:EffectRef,-1.22,0.13,<.001,***,-1.44,0.11,<.001,***,-1.74,0.15,<.001,***,-1.03,0.08,<.001,***,-1.27,0.09,<.001,***,-0.22,0.07,0.003,**,-0.42,0.1,<.001,***,-0.23,0.09,0.009,**,-0.59,0.07,<.001,***,-0.37,0.06,<.001,***
SentTypeTwoSentences:SentTaskButtonPress:EffectRef,-1.57,0.2,<.001,***,-1.65,0.18,<.001,***,-1.97,0.21,<.001,***,-1.47,0.11,<.001,***,-1.8,0.15,<.001,***,-0.53,0.14,<.001,***,-0.48,0.16,0.006,**,-0.18,0.15,0.234,,-0.84,0.1,<.001,***,-0.57,0.09,<.001,***
SentTypeTwoSentences:SentTaskComprehensionQ:EffectRef,-3.2,0.2,<.001,***,-3.69,0.19,<.001,***,-3.53,0.23,<.001,***,-2.03,0.12,<.001,***,-2.6,0.12,<.001,***,-1.28,0.14,<.001,***,-1.56,0.16,<.001,***,-0.8,0.14,<.001,***,-1.17,0.08,<.001,***,-0.9,0.08,<.001,***
SentTypeOneSentence:SentTaskMemoryAll:EffectRef,-1.47,0.14,<.001,***,-1.98,0.12,<.001,***,-1.91,0.16,<.001,***,-1.17,0.08,<.001,***,-1.5,0.09,<.001,***,-0.46,0.08,<.001,***,-0.64,0.11,<.001,***,-0.24,0.09,0.01,*,-0.64,0.07,<.001,***,-0.49,0.06,<.001,***
SentTypeOneSentence:SentTaskMemoryLast:EffectRef,-1.16,0.14,<.001,***,-1.4,0.12,<.001,***,-1.43,0.16,<.001,***,-0.99,0.08,<.001,***,-1.21,0.09,<.001,***,-0.41,0.08,<.001,***,-0.58,0.11,<.001,***,-0.29,0.09,0.002,**,-0.61,0.07,<.001,***,-0.46,0.06,<.001,***
SentTypeTwoSentences:SentTaskSentiment:EffectRef,-2.79,0.21,<.001,***,-3.33,0.2,<.001,***,-3.1,0.23,<.001,***,-1.96,0.13,<.001,***,-2.48,0.15,<.001,***,-1.3,0.18,<.001,***,-1.63,0.2,<.001,***,-0.78,0.14,<.001,***,-1.26,0.13,<.001,***,-1.07,0.11,<.001,***
