,,,,Correlation,Correlation,SVM,SVM,kNN,kNN,sklearn_logistic_reg,sklearn_logistic_reg
train_type,target,network,TestGroup,Accuracy,Sig,Accuracy,Sig,Accuracy,Sig,Accuracy,Sig
cross,conditions,Lang,V1,0.6611111111111112,***,0.7043650793650793,***,0.6492063492063492,***,0.6738095238095239,***
cross,conditions,Lang,V2,0.7047619047619048,***,0.7484126984126984,***,0.646031746031746,***,0.694047619047619,***
cross,conditions,Lang,V3,0.6865079365079365,***,0.7035714285714286,***,0.6496031746031745,***,0.6805555555555555,***
cross,conditions,Lang_RH,V1,0.6246031746031746,***,0.6492063492063492,***,0.6341269841269841,***,0.6412698412698412,***
cross,conditions,Lang_RH,V2,0.6603174603174603,***,0.6670634920634921,***,0.6055555555555555,***,0.6309523809523809,***
cross,conditions,Lang_RH,V3,0.6083333333333333,***,0.6202380952380953,***,0.594047619047619,***,0.5845238095238096,***
cross,conditions,MD,V1,0.5555555555555555,**,0.575,***,0.5591269841269841,***,0.6039682539682539,***
cross,conditions,MD,V2,0.5837301587301587,***,0.5896825396825397,***,0.5551587301587302,**,0.6277777777777778,***
cross,conditions,MD,V3,0.555952380952381,**,0.5646825396825397,***,0.5619047619047619,***,0.580952380952381,***
cross,tasks,Lang,S,0.3787878787878788,**,0.4428210678210678,***,0.36047378547378545,*,0.38375420875420874,***
cross,tasks,Lang,N,0.37647907647907647,**,0.4268157768157768,***,0.37092352092352093,**,0.4008177008177008,***
cross,tasks,Lang_RH,S,0.3854016354016354,***,0.4467291967291967,***,0.37806637806637805,**,0.4068302068302068,***
cross,tasks,Lang_RH,N,0.38997113997113997,***,0.44975949975949975,***,0.38936988936988937,***,0.41259018759018756,***
cross,tasks,MD,S,0.41028138528138525,***,0.5094877344877344,***,0.39029581529581525,***,0.5304473304473304,***
cross,tasks,MD,N,0.4219095719095719,***,0.4873977873977874,***,0.4086099086099086,***,0.5376623376623376,***
same,conditions,Lang,V1,0.6678571428571428,***,0.7265873015873017,***,0.6630952380952381,***,0.6912698412698413,***
same,conditions,Lang,V2,0.7035714285714286,***,0.7682539682539683,***,0.6765873015873016,***,0.7214285714285714,***
same,conditions,Lang,V3,0.6888888888888889,***,0.7305555555555555,***,0.653968253968254,***,0.6849206349206349,***
same,conditions,Lang_RH,V1,0.6067460317460318,***,0.6396825396825397,***,0.6039682539682539,***,0.6261904761904762,***
same,conditions,Lang_RH,V2,0.6571428571428571,***,0.6793650793650793,***,0.6408730158730159,***,0.6638888888888889,***
same,conditions,Lang_RH,V3,0.5928571428571429,***,0.6162698412698412,***,0.5944444444444444,***,0.623015873015873,***
same,conditions,MD,V1,0.5472222222222223,**,0.5698412698412698,***,0.5571428571428572,***,0.5932539682539683,***
same,conditions,MD,V2,0.5801587301587301,***,0.5996031746031746,***,0.5698412698412698,***,0.653968253968254,***
same,conditions,MD,V3,0.557936507936508,***,0.5595238095238095,***,0.5448412698412699,**,0.5952380952380952,***
same,tasks,Lang,S,0.45948773448773444,***,0.5141173641173641,***,0.4092111592111592,***,0.4761544011544011,***
same,tasks,Lang,N,0.3916907166907167,***,0.4848845598845599,***,0.3752164502164502,**,0.4203944203944204,***
same,tasks,Lang_RH,S,0.43137325637325635,***,0.4933501683501683,***,0.4212481962481962,***,0.45386002886002885,***
same,tasks,Lang_RH,N,0.3715848965848966,**,0.45206830206830206,***,0.3851370851370851,**,0.4183501683501683,***
same,tasks,MD,S,0.4447330447330447,***,0.5210557960557961,***,0.4383838383838384,***,0.5555194805194805,***
same,tasks,MD,N,0.42237854737854735,***,0.5244348244348245,***,0.4025252525252525,***,0.5274771524771524,***
