Subject,TestGroup,Split,Classifier,Accuracy
212,S,0,kNN,0.08333333333333333
212,S,0,sklearn_logistic_reg,0.0
212,S,0,SVM,0.0
212,S,0,Correlation,0.0
212,S,1,kNN,0.0
212,S,1,sklearn_logistic_reg,0.3333333333333333
212,S,1,SVM,0.2222222222222222
212,S,1,Correlation,0.1111111111111111
212,S,2,kNN,0.1111111111111111
212,S,2,sklearn_logistic_reg,0.0
212,S,2,SVM,0.2222222222222222
212,S,2,Correlation,0.1111111111111111
212,S,3,kNN,0.1111111111111111
212,S,3,sklearn_logistic_reg,0.0
212,S,3,SVM,0.1111111111111111
212,S,3,Correlation,0.1111111111111111
212,S,4,kNN,0.0
212,S,4,sklearn_logistic_reg,0.0
212,S,4,SVM,0.1111111111111111
212,S,4,Correlation,0.0
212,N,0,kNN,0.08333333333333333
212,N,0,sklearn_logistic_reg,0.16666666666666666
212,N,0,SVM,0.16666666666666666
212,N,0,Correlation,0.08333333333333333
212,N,1,kNN,0.0
212,N,1,sklearn_logistic_reg,0.0
212,N,1,SVM,0.2222222222222222
212,N,1,Correlation,0.0
212,N,2,kNN,0.0
212,N,2,sklearn_logistic_reg,0.0
212,N,2,SVM,0.1111111111111111
212,N,2,Correlation,0.0
212,N,3,kNN,0.0
212,N,3,sklearn_logistic_reg,0.0
212,N,3,SVM,0.2222222222222222
212,N,3,Correlation,0.0
212,N,4,kNN,0.2222222222222222
212,N,4,sklearn_logistic_reg,0.1111111111111111
212,N,4,SVM,0.1111111111111111
212,N,4,Correlation,0.1111111111111111
249,S,0,kNN,0.18181818181818182
249,S,0,sklearn_logistic_reg,0.2727272727272727
249,S,0,SVM,0.45454545454545453
249,S,0,Correlation,0.18181818181818182
249,S,1,kNN,0.1111111111111111
249,S,1,sklearn_logistic_reg,0.0
249,S,1,SVM,0.2222222222222222
249,S,1,Correlation,0.0
249,S,2,kNN,0.2222222222222222
249,S,2,sklearn_logistic_reg,0.1111111111111111
249,S,2,SVM,0.3333333333333333
249,S,2,Correlation,0.1111111111111111
