Regression Term,Beta_LH_IFGorb,SE_LH_IFGorb,p.value.FDR_LH_IFGorb,pLabel_LH_IFGorb,Beta_LH_IFG,SE_LH_IFG,p.value.FDR_LH_IFG,pLabel_LH_IFG,Beta_LH_MFG,SE_LH_MFG,p.value.FDR_LH_MFG,pLabel_LH_MFG,Beta_LH_AntTemp,SE_LH_AntTemp,p.value.FDR_LH_AntTemp,pLabel_LH_AntTemp,Beta_LH_PostTemp,SE_LH_PostTemp,p.value.FDR_LH_PostTemp,pLabel_LH_PostTemp,Beta_RH_IFGorb,SE_RH_IFGorb,p.value.FDR_RH_IFGorb,pLabel_RH_IFGorb,Beta_RH_IFG,SE_RH_IFG,p.value.FDR_RH_IFG,pLabel_RH_IFG,Beta_RH_MFG,SE_RH_MFG,p.value.FDR_RH_MFG,pLabel_RH_MFG,Beta_RH_AntTemp,SE_RH_AntTemp,p.value.FDR_RH_AntTemp,pLabel_RH_AntTemp,Beta_RH_PostTemp,SE_RH_PostTemp,p.value.FDR_RH_PostTemp,pLabel_RH_PostTemp
V1:Within-subject.Different-task vs V1:Between-subject.Same-task,0.269992908349204,0.0132259591250905,<.001,***,0.333200788693468,0.0144562442409624,<.001,***,0.339197968998537,0.0144924665114269,<.001,***,0.322996595505322,0.0104816539486058,<.001,***,0.409738012911493,0.0117156634548365,<.001,***,0.144800656430403,0.0105925143976436,<.001,***,0.207658229670601,0.0114102011260444,<.001,***,0.151126194608429,0.00974121709425991,<.001,***,0.24060290526421,0.00903238183223742,<.001,***,0.227642004731459,0.00996923192779909,<.001,***
V1:Within-subject.Same-task vs V1:Within-subject.Different-task,0.0737507221591838,0.0122168387112968,<.001,***,0.073244117751503,0.0105816231746697,<.001,***,0.073997158550745,0.011975538066131,<.001,***,0.0242838171345265,0.00793612178756312,0.027,*,0.037776249203583,0.00770134978906242,<.001,***,-0.0103330440216008,0.0123685724894082,1,,-0.0219442351330772,0.0112164205997267,1,,-0.0101251453593081,0.0119240633785632,1,,-0.0139686855744472,0.00801980612378729,1,,0.0192894601622026,0.00898861040832149,0.319,
V2:Within-subject.Different-task vs V2:Between-subject.Same-task,0.297810621395759,0.0138766297073662,<.001,***,0.402807842237242,0.0149087399808244,<.001,***,0.404962421479583,0.015067095903896,<.001,***,0.364437000319468,0.0108321513010235,<.001,***,0.466832971389135,0.0120126750084672,<.001,***,0.170881561527705,0.0114073292988458,<.001,***,0.249109119135117,0.012042946557388,<.001,***,0.179321304429887,0.0105597979866107,<.001,***,0.263286508783242,0.00944406999528995,<.001,***,0.260587990549699,0.0104373146175295,<.001,***
V2:Within-subject.Same-task vs V2:Within-subject.Different-task,0.0678187456517703,0.0142279731119913,<.001,***,0.0764161312858553,0.0123227344110639,<.001,***,0.0814098017815697,0.0139464372017997,<.001,***,0.0402473367186064,0.00924201181888988,<.001,***,0.052209336861279,0.00896834568674014,<.001,***,0.000172945309451028,0.0144063565194175,1,,0.0563613774601835,0.0130631917806146,<.001,***,0.0483648881383909,0.0138890611938961,0.004,**,0.0332783978779455,0.00933989390127534,0.003,**,0.029301206887933,0.0104682224821771,0.034,*
V3:Within-subject.Different-task vs V3:Between-subject.Same-task,0.282062404446936,0.0139181429453312,<.001,***,0.380273523111911,0.0149380256146104,<.001,***,0.356458837779075,0.015104042245035,<.001,***,0.346029488640847,0.010854797732222,<.001,***,0.432493409815808,0.0120319862478471,<.001,***,0.152398748171703,0.01145807045093,<.001,***,0.229174256136831,0.0120831062339546,<.001,***,0.167142665395321,0.0106104286425906,<.001,***,0.252407159659355,0.00947041383284557,<.001,***,0.232752596285309,0.01046723362132,<.001,***
V3:Within-subject.Same-task vs V3:Within-subject.Different-task,-0.0282531083303193,0.0143860045778247,1,,0.0465946796183012,0.0124595168909962,0.011,*,0.0310825393518878,0.014101287046678,0.55,,0.0140677292025747,0.00934460556340418,1,,0.0314561098664486,0.00906787529212504,0.016,*,0.0174378816398892,0.0145665639860215,1,,-0.0449421554453044,0.0132083218251051,1,,0.00165838449323163,0.0140435730861527,1,,-0.00523347822853615,0.00944361879549479,1,,-0.0193617467370175,0.0105844841009174,1,
V4:Within-subject.Different-task vs V4:Between-subject.Same-task,0.332577027863463,0.0133456421453963,<.001,***,0.408330374776828,0.0145395087620105,<.001,***,0.414844448363934,0.0145981970967027,<.001,***,0.381326370520073,0.0105461494685785,<.001,***,0.464034678937459,0.0117703139495291,<.001,***,0.190058506796196,0.0107419928265349,<.001,***,0.243414772761973,0.0115265446901221,<.001,***,0.173674051089743,0.00989121133098938,<.001,***,0.289970509530893,0.0091081186450186,<.001,***,0.273242521779617,0.0100553387762356,<.001,***
V4:Within-subject.Same-task vs V4:Within-subject.Different-task,0.186229383455521,0.0126546030858598,<.001,***,0.149880593556091,0.0109600151931789,<.001,***,0.182777488166586,0.0124041777923881,<.001,***,0.144121385762568,0.00821997973894235,<.001,***,0.135765642583855,0.00797656625898264,<.001,***,0.156633870286635,0.012813339631473,<.001,***,0.155812550953563,0.0116186413227902,<.001,***,0.242310318212965,0.0123532684737168,<.001,***,0.146649235404199,0.00830705584573101,<.001,***,0.182541210535399,0.00931061237405411,<.001,***
V5:Within-subject.Different-task vs V5:Between-subject.Same-task,0.31118757190632,0.0138816658783635,<.001,***,0.406521792215857,0.014912005565099,<.001,***,0.414207684008832,0.0150713881795778,<.001,***,0.370587071251183,0.010834703916575,<.001,***,0.460629869079143,0.0120147627285002,<.001,***,0.182103006116535,0.0114141373323206,<.001,***,0.267031883712852,0.0120479477000752,<.001,***,0.201551985941083,0.0105667179611786,<.001,***,0.28623463398117,0.0094472153680318,<.001,***,0.286048829715834,0.0104409087805631,<.001,***
V5:Within-subject.Same-task vs V5:Within-subject.Different-task,0.122730121012709,0.0143673496304149,<.001,***,0.127672057899854,0.0124445684493811,<.001,***,0.161469572114431,0.0140837416256234,<.001,***,0.114639864144892,0.00933328898221669,<.001,***,0.127447902752606,0.00905727635667946,<.001,***,0.14412521734088,0.0145452943258971,<.001,***,0.225975359319516,0.0131907262792098,<.001,***,0.16845199057559,0.014022437834408,<.001,***,0.137805587362463,0.00943156272174818,<.001,***,0.145204060514943,0.0105708910745413,<.001,***
