Regression Term,Beta,SE,p.value,pLabel
(Intercept),0.223825818183624,0.0521561120313783,8.46e-05,***
EffectsN.N:TasksButtonPress.Task,-0.0347108631808357,0.0356519855316593,0.33,
EffectsN.N:TasksTask.Task,0.130329268210892,0.0352504444705106,0.000218,***
EffectsN.S,-0.0352710602008437,0.0389364784313542,0.365,
EffectsN.S:TasksButtonPress.Task,-0.0182864464756332,0.0189411214999008,0.334,
EffectsN.S:TasksTask.Task,0.0737153802532021,0.0189162057734397,9.76e-05,***
EffectsN.S:TypesOneSentence.TwoSentences,0.00364869790588587,0.008563440063277,0.67,
EffectsS.S,0.137037518735347,0.0404915527076726,0.000714,***
EffectsS.S:TasksButtonPress.Task,0.0228651742663617,0.0213056562404568,0.283,
EffectsS.S:TasksTask.Task,0.152624257804073,0.0216641014303157,1.89e-12,***
EffectsS.S:TypesOneSentence.TwoSentences,0.0396434579810863,0.0139452323891629,0.004,**
EffectsS.S:TypesTwoSentences.TwoSentences,0.184129985041715,0.0173701109975661,3.23e-26,***
