Regression Term,Beta,SE,p.value,pLabel
(Intercept),0.234462227272654,0.0432024790684353,1.21e-07,***
EffectsN.N:TasksButtonPress.Task,-0.0348586711006312,0.0361967979905392,0.336,
EffectsN.N:TasksTask.Task,0.144100409014847,0.0357888096622452,5.67e-05,***
EffectsN.S,-0.0636647491720898,0.0395315939750021,0.107,
EffectsN.S:TasksButtonPress.Task,0.0352403584093083,0.0192301501176545,0.067,
EffectsN.S:TasksTask.Task,0.144942481351718,0.0192036895681708,4.53e-14,***
EffectsN.S:TypesOneSentence.TwoSentences,0.0100887866124554,0.00869257686818119,0.246,
EffectsS.S,0.100035081119221,0.0411102605207677,0.015,*
EffectsS.S:TasksButtonPress.Task,0.0184706673314051,0.0216302932603022,0.393,
EffectsS.S:TasksTask.Task,0.145788265375623,0.0219921984646544,3.42e-11,***
EffectsS.S:TypesOneSentence.TwoSentences,-0.00527418798036049,0.0141568361965391,0.709,
EffectsS.S:TypesTwoSentences.TwoSentences,0.12438600616732,0.017631896812617,1.76e-12,***
