Regression Term,Beta,SE,p.value,pLabel
(Intercept),0.534066396721385,0.105498182545348,0.002,**
EffectsN.N:TasksButtonPress.Task,0.0168027539933895,0.0123887011689392,0.175,
EffectsN.N:TasksTask.Task,0.177674347535514,0.0122544729822306,1.29e-47,***
EffectsN.S,-0.0140933786579001,0.0136440007608295,0.302,
EffectsN.S:TasksButtonPress.Task,0.00894309626075845,0.00679051687595544,0.188,
EffectsN.S:TasksTask.Task,0.0685598258149918,0.00677769864019003,4.76e-24,***
EffectsN.S:TypesOneSentence.TwoSentences,-0.0840837869026134,0.00286017293399518,1.16e-189,***
EffectsS.S,0.362105105192144,0.0142185499160678,6.7e-143,***
EffectsS.S:TasksButtonPress.Task,-0.00951235615345661,0.00772836218622058,0.218,
EffectsS.S:TasksTask.Task,0.141048264925587,0.00780814881510643,6.73e-73,***
EffectsS.S:TypesOneSentence.TwoSentences,-0.0202963490495206,0.0046263926337495,1.15e-05,***
EffectsS.S:TypesTwoSentences.TwoSentences,0.1884914760289,0.00590230783323599,2.29e-223,***
