Regression Term,Beta_V1,SE_V1,p.value.FDR_V1,pLabel_V1,Beta_V2,SE_V2,p.value.FDR_V2,pLabel_V2,Beta_V3,SE_V3,p.value.FDR_V3,pLabel_V3,Beta_V4,SE_V4,p.value.FDR_V4,pLabel_V4,Beta_V5,SE_V5,p.value.FDR_V5,pLabel_V5,Beta_V6,SE_V6,p.value.FDR_V6,pLabel_V6
(Intercept),0.720004601926278,0.10325409284814,0.003,**,0.507561099884497,0.115365514230188,0.004,**,0.435213445849947,0.101674299394619,0.004,**,0.54547491887019,0.109352692021956,0.003,**,0.565291975620885,0.111151146303337,0.003,**,0.625412726282288,0.123646642437487,0.003,**
EffectsN.N:TasksButtonPress.Task,-0.156401308945703,0.00953621939283117,<.001,***,0.0460689981475261,0.0274681856035685,0.188,,0.061721123355812,0.0273733207856527,0.072,,0.00721320236299074,0.0237281788893357,0.761,,-0.0228373589396654,0.0276158361581969,0.49,,-0.0519445996771835,0.0367709238452531,0.237,
EffectsN.N:TasksTask.Task,NA,NA,NA,NA,0.214648902454102,0.0272233118474896,<.001,***,0.237607051005582,0.027117654371314,<.001,***,0.175457730624837,0.0235156206910508,<.001,***,0.123706337034409,0.0273371186426877,<.001,***,0.0566896276810607,0.0364604865316275,0.12,
EffectsN.S,-0.160338367525323,0.026599393700644,<.001,***,9.21174689540293e-05,0.0309301551499878,0.998,,0.0303680983707877,0.0308194259597696,0.389,,-0.032181434991912,0.0260707571942052,0.326,,-0.0535016200795908,0.030105606686534,0.188,,-0.0666555340175093,0.0397690020118238,0.188,
EffectsN.S:TasksButtonPress.Task,-0.0419068158846856,0.0262291890389003,0.33,,0.0204255340771679,0.0168437653680954,0.338,,0.0219718100522426,0.0167157175290325,0.338,,0.0211772094581909,0.0131688456142011,0.33,,0.014133839255289,0.0147206568876707,0.404,,-0.011238357023118,0.0189677096232138,0.554,
EffectsN.S:TasksTask.Task,0.00267130240111868,0.025985348176605,0.918,,0.0882108253892318,0.016948559122187,<.001,***,0.0977414768628066,0.016799469430444,<.001,***,0.0988908703267378,0.013201631132257,<.001,***,0.0820883323788029,0.0147502535498915,<.001,***,-0.00797046726752737,0.0191415305341937,0.812,
EffectsN.S:TypesOneSentence.TwoSentences,-0.0760411061294354,0.00601501038915362,<.001,***,-0.086193295775539,0.00728612087453717,<.001,***,-0.0870406426716597,0.0071579252017243,<.001,***,-0.0825587590746098,0.00632300332438453,<.001,***,-0.0862873923944396,0.00690674724907021,<.001,***,-0.0817385845971378,0.00975518618299494,<.001,***
EffectsS.S,0.124073269593412,0.0235349280184122,<.001,***,0.385451442865065,0.0330487348342403,<.001,***,0.441985759570976,0.0328883518276983,<.001,***,0.356092453360418,0.0272206531167017,<.001,***,0.316096162090399,0.0313244669058359,<.001,***,0.353702714796755,0.0426575201536813,<.001,***
EffectsS.S:TasksButtonPress.Task,0.0273324395231399,0.0221787154641275,0.436,,0.00773577090642499,0.0205989270240238,0.992,,0.00247855350204952,0.0203719728720177,0.992,,-0.0276240467027949,0.0151467965946802,0.204,,0.000173070678681857,0.0166094149364289,0.992,,-0.0650725787602309,0.0227479912230769,0.024,*
EffectsS.S:TasksTask.Task,0.162412284277773,0.0218020020614117,<.001,***,0.133963329278516,0.0211115248363682,<.001,***,0.177514453214337,0.0208521809268513,<.001,***,0.114076647826605,0.0154158475471429,<.001,***,0.155173561672902,0.0169470935718672,<.001,***,0.0981940793655345,0.0244104205409557,<.001,***
EffectsS.S:TypesOneSentence.TwoSentences,0.0175997626528182,0.0104481077184237,0.11,,-0.0154289559363991,0.0117673549929875,0.19,,-0.0233170481708275,0.0116092079973749,0.068,,-0.0391369982505224,0.0094020184543067,<.001,***,-0.0416872333208056,0.0109078318006866,<.001,***,-0.0467951169323786,0.0188564525236957,0.026,*
EffectsS.S:TypesTwoSentences.TwoSentences,0.240156947581722,0.0121374606481037,<.001,***,0.216522115129955,0.0156267501570149,<.001,***,0.219805922633342,0.0152364025847111,<.001,***,0.134789319961663,0.0133741904792298,<.001,***,0.124022905478477,0.0145237158125916,<.001,***,0.131171704641395,0.0217649072489298,<.001,***
