Regression Term,Beta,SE,p.value,pLabel
(Intercept),0.310830702184193,0.0705776036473146,0.003,**
EffectsN.N:TasksButtonPress.Task,0.00951418859929539,0.0124614673272036,0.445,
EffectsN.N:TasksTask.Task,0.164995654961263,0.0123271930645302,7.65e-41,***
EffectsN.S,-0.00860517468983442,0.0137239620346946,0.531,
EffectsN.S:TasksButtonPress.Task,0.00132367773813002,0.00683060191043451,0.846,
EffectsN.S:TasksTask.Task,0.0794327971167368,0.00681877780113178,2.36e-31,***
EffectsN.S:TypesOneSentence.TwoSentences,-0.0154629437121524,0.00287757915143324,7.72e-08,***
EffectsS.S,0.149454595997912,0.0143021993979824,1.49e-25,***
EffectsS.S:TasksButtonPress.Task,0.0312488095532815,0.0077742036037583,5.83e-05,***
EffectsS.S:TasksTask.Task,0.162433123602532,0.00785558651481217,6.54e-95,***
EffectsS.S:TypesOneSentence.TwoSentences,0.00502748572926524,0.00465392804139274,0.28,
EffectsS.S:TypesTwoSentences.TwoSentences,0.14144279291398,0.0059383637020884,2.89e-125,***
