Regression Term,Beta_V1,SE_V1,p.value.FDR_V1,pLabel_V1,Beta_V2,SE_V2,p.value.FDR_V2,pLabel_V2,Beta_V3,SE_V3,p.value.FDR_V3,pLabel_V3,Beta_V4,SE_V4,p.value.FDR_V4,pLabel_V4,Beta_V5,SE_V5,p.value.FDR_V5,pLabel_V5,Beta_V6,SE_V6,p.value.FDR_V6,pLabel_V6
(Intercept),0.497703011692412,0.0736109340701723,0.002,**,0.33237710268338,0.0801691340439128,0.004,**,0.291529927036448,0.0690159177777531,0.003,**,0.302414587563973,0.0822366999882357,0.007,**,0.315420218928734,0.0713560557245688,0.002,**,0.331816121055872,0.0822033414101123,0.002,**
EffectsN.N:TasksButtonPress.Task,-0.166536351277886,0.00967123202686399,<.001,***,-0.0143068648188612,0.0268904304795927,0.854,,0.00358153293339047,0.0274688144450621,0.896,,0.0525557559802909,0.0243121694865101,0.093,,0.0103102832907958,0.0278827614510753,0.854,,-0.045499405573031,0.0360005646359305,0.412,
EffectsN.N:TasksTask.Task,NA,NA,NA,NA,0.133253310720499,0.0266506701324822,<.001,***,0.144619659810742,0.0272122095258211,<.001,***,0.217143161210442,0.0240943445976993,<.001,***,0.151413186719638,0.0276013447560618,<.001,***,0.123821513312512,0.0356966876744041,<.001,***
EffectsN.S,-0.165490276392353,0.0269760722060728,<.001,***,-0.0156845522447942,0.0302795719743441,0.883,,0.00455759643323184,0.0309269226529091,0.883,,0.00426361239445831,0.0267123903586463,0.883,,-0.0300789280711428,0.0303966050737884,0.834,,-0.0316288702295034,0.0389358045921343,0.834,
EffectsN.S:TasksButtonPress.Task,-0.0279085032509022,0.0266006028132389,0.439,,-0.0149073314746501,0.0164894146557454,0.439,,-0.0184224578450734,0.0167739426373028,0.439,,0.0284693336085378,0.0134928147342552,0.21,,0.0191154783351539,0.014862936636342,0.439,,0.000343719990475481,0.0185703858817659,0.985,
EffectsN.S:TasksTask.Task,0.0578711918132567,0.026353466166668,0.028,*,0.0522215920654853,0.0165918656807349,0.003,**,0.0433371041985093,0.0168577951377921,0.012,*,0.121667794016233,0.0135261733712512,<.001,***,0.0997508016455166,0.0148928055267549,<.001,***,0.0879372645264234,0.0187406927165714,<.001,***
EffectsN.S:TypesOneSentence.TwoSentences,-0.0217592632160924,0.0061003915997539,0.002,**,-0.0197973843582005,0.00713264432051856,0.012,*,-0.0214904082429671,0.00718248569747127,0.009,**,-0.00457730919263648,0.00647822804934557,0.576,,-0.000382810695622266,0.00697349906321046,0.956,,-0.019242749014756,0.00955087919817605,0.066,
EffectsS.S,-0.0614727907641939,0.023868262197543,0.01,*,0.157020079482062,0.0323535483089801,<.001,***,0.171789229905936,0.0330030118901466,<.001,***,0.165697914257668,0.0278905599654249,<.001,***,0.134098145937918,0.0316272430720397,<.001,***,0.172716940531464,0.0417638128756428,<.001,***
EffectsS.S:TasksButtonPress.Task,0.0630027920132463,0.0224928495398723,0.03,*,0.027755814558881,0.0201654622743751,0.254,,0.0216010811070648,0.0204427596315956,0.349,,0.0394172596530998,0.0155192806786939,0.033,*,0.0234237326917665,0.0167699487972978,0.254,,0.0142407158604187,0.0222714942229283,0.523,
EffectsS.S:TasksTask.Task,0.19527664001412,0.0221110832605889,<.001,***,0.117942721056283,0.020666954276879,<.001,***,0.176750257104475,0.0209241385482218,<.001,***,0.159817845576369,0.0157945414860877,<.001,***,0.148025953785761,0.0171108722281339,<.001,***,0.171070763737816,0.0238992455022113,<.001,***
EffectsS.S:TypesOneSentence.TwoSentences,0.0209080504861433,0.0105961809008841,0.27,,0.0157178987872344,0.0115195870792568,0.27,,-0.0159786091791917,0.0116492501433527,0.27,,0.00237904522631283,0.00963311288653685,0.951,,0.000675290669680665,0.0110132615917128,0.951,,-0.0247509318498591,0.0184614521153605,0.27,
EffectsS.S:TypesTwoSentences.TwoSentences,0.158766794599625,0.0123097397316825,<.001,***,0.237665887487393,0.0152974700295693,<.001,***,0.124413387214372,0.015288480964761,<.001,***,0.101724566931557,0.013702566768381,<.001,***,0.101076354654026,0.0146640818326677,<.001,***,0.0660998129425804,0.0213091180929704,0.002,**
