Regression Term,Beta,SE,p.value,pLabel
(Intercept),0.396892815852996,0.0746220561610738,4.48e-05,***
EffectsN.N:TasksButtonPress.Task,0.0794324370969345,0.024960045632286,0.001,**
EffectsN.N:TasksTask.Task,0.336285530936192,0.024679289629608,3.22e-42,***
EffectsN.S,-0.00843229535063215,0.0272593927980285,0.757,
EffectsN.S:TasksButtonPress.Task,0.0452806599825576,0.013261201453993,0.000639,***
EffectsN.S:TasksTask.Task,0.260436414301987,0.0132450884958354,8.21e-86,***
EffectsN.S:TypesOneSentence.TwoSentences,0.0231060669380585,0.00599724058781291,0.000117,***
EffectsS.S,0.112148226714829,0.02834830668975,7.63e-05,***
EffectsS.S:TasksButtonPress.Task,0.0203372918389487,0.0149172123570415,0.173,
EffectsS.S:TasksTask.Task,0.247668503982499,0.0151704523579462,8.64e-60,***
EffectsS.S:TypesOneSentence.TwoSentences,0.0199966815841351,0.0097647949482785,0.041,*
EffectsS.S:TypesTwoSentences.TwoSentences,0.180555390709739,0.012164998261318,9.52e-50,***
