Regression Term,Beta,SE,p.value,pLabel
(Intercept),0.344774722738328,0.0540916473772454,1.19e-07,***
EffectsN.N:TasksButtonPress.Task,0.0541567316952869,0.0257026052925745,0.035,*
EffectsN.N:TasksTask.Task,0.287294791510144,0.0254135010997159,1.33e-29,***
EffectsN.S,-0.0202766712560659,0.0280703562634739,0.47,
EffectsN.S:TasksButtonPress.Task,0.0130950384383862,0.0136557267618318,0.338,
EffectsN.S:TasksTask.Task,0.222441238410837,0.0136391498712696,1.13e-59,***
EffectsN.S:TypesOneSentence.TwoSentences,0.027081466364574,0.00617568061998615,1.16e-05,***
EffectsS.S,0.016343959984825,0.0291916676656524,0.576,
EffectsS.S:TasksButtonPress.Task,0.0343579114102344,0.0153610107186515,0.025,*
EffectsS.S:TasksTask.Task,0.255248754378577,0.0156218110520953,6.93e-60,***
EffectsS.S:TypesOneSentence.TwoSentences,-0.0101277642963646,0.0100553165859975,0.314,
EffectsS.S:TypesTwoSentences.TwoSentences,0.111604769513541,0.0125269538444039,5.28e-19,***
